"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,130.7,TRUE,6.85,"Media",0.755,36,49.52,71.93,0.128,0.073,0.7
2,65.8,FALSE,7.42,"Baja",0.632,33,34.55,96.63,0.077,0.268,0.252
3,23.9,TRUE,3.32,"Media",0.411,29,20.17,55.81,0.158,0.62,0.291
4,40.5,FALSE,1.22,"Alta",0.619,31,7.07,68.16,0.386,0.445,0.455
5,24.6,TRUE,6.37,"Media",0.547,29,37.92,43.28,0.064,0.611,0.294
6,125.8,TRUE,4.79,"Baja",0.659,36,4.81,98.24,0.233,0.081,0.681
7,13.4,TRUE,3.32,"Media",0.569,27,33.93,84.95,0.118,0.765,0.251
8,108.2,FALSE,5.8,"Baja",0.737,35,76.66,24.32,0.16,0.115,0.414
9,125.2,TRUE,0.79,"Baja",0.72,36,11.51,44.67,0.772,0.082,0.679
10,95.9,FALSE,2.35,"Baja",0.483,35,36.37,7.28,0.423,0.147,0.367
11,74.4,TRUE,2.53,"Baja",0.586,34,74.38,10.36,0.353,0.226,0.485
12,52.7,FALSE,2.66,"Alta",0.516,32,40.87,70.94,0.286,0.349,0.502
