"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,29.3,FALSE,3.63,"Alta",0.379,30,35.06,71.65,0.15,0.557,0.399
2,52.5,TRUE,1.29,"Alta",0.338,32,59.41,2.28,0.404,0.35,0.677
3,21,TRUE,3.9,"Baja",0.5,28,58.59,86.07,0.117,0.657,0.271
4,70.1,FALSE,4.77,"Media",0.529,34,69.35,91.49,0.164,0.246,0.236
5,148.3,TRUE,1.15,"Alta",0.702,37,34.4,71.37,0.708,0.052,1
6,145.8,TRUE,3.85,"Baja",0.527,37,28.96,82.51,0.312,0.054,0.692
7,17.9,FALSE,2.5,"Media",0.487,28,42.29,20.76,0.164,0.699,0.06
8,129.6,TRUE,1.39,"Media",0.436,36,84.6,38.08,0.616,0.075,0.637
9,7.7,TRUE,5.17,"Baja",0.289,24,21.16,36.45,0.048,0.857,0.226
10,120,TRUE,1.01,"Media",0.457,36,96.06,84.87,0.664,0.091,0.605
