"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,132.1,FALSE,2.67,"Media",0.73,36,63.72,50.79,0.431,0.071,0.461
2,143.1,TRUE,1.84,"Baja",0.62,37,66,3.25,0.575,0.057,0.699
3,80.8,TRUE,4.8,"Baja",0.494,34,84.22,39.85,0.178,0.199,0.482
4,143.4,FALSE,1.21,"Alta",0.616,37,12.51,82.94,0.696,0.057,0.8
5,24.8,FALSE,7.98,"Alta",0.271,29,89.03,59.8,0.038,0.609,0.386
6,24.7,FALSE,4.04,"Alta",0.612,29,31.75,33.04,0.124,0.61,0.386
7,45.8,FALSE,5.16,"Baja",0.454,32,15.05,75.12,0.12,0.4,0.16
8,73.5,TRUE,5.91,"Media",0.394,34,59.73,65.74,0.122,0.23,0.456
9,19.1,FALSE,6.26,"Media",0.434,28,28.65,17.34,0.056,0.682,0.067
10,130.2,TRUE,3.52,"Alta",0.557,36,59.93,74.89,0.331,0.074,0.954
11,42.6,FALSE,4.14,"Media",0.428,31,24.24,34.92,0.157,0.427,0.149
12,111.2,TRUE,6.88,"Alta",0.537,35,83.68,0.43,0.112,0.108,0.888
13,123.3,TRUE,4.92,"Baja",0.424,36,25.89,49.1,0.212,0.085,0.63
