"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,66.6,FALSE,5.51,"Baja",0.663,33,68.42,84.78,0.142,0.264,0.274
2,27.2,TRUE,3.01,"Baja",0.605,30,40.6,51.29,0.192,0.58,0.312
3,44.7,TRUE,4.51,"Media",0.353,32,6.93,84.85,0.157,0.409,0.384
4,121.6,FALSE,5.65,"Alta",0.535,36,78.68,89.38,0.184,0.088,0.8
5,50.6,TRUE,1.74,"Media",0.556,32,21.18,63.21,0.383,0.363,0.408
6,67.9,FALSE,4.99,"Alta",0.326,33,60.15,24.62,0.167,0.257,0.579
7,97,TRUE,0.77,"Media",0.743,35,60.66,30.46,0.709,0.144,0.599
8,60.3,TRUE,2.48,"Baja",0.386,33,66.99,3.1,0.335,0.299,0.448
9,102,FALSE,2.48,"Alta",0.616,35,32.7,41.12,0.435,0.13,0.719
10,24,FALSE,6.61,"Media",0.295,29,57.15,81.38,0.061,0.619,0.099
11,87.1,TRUE,0.79,"Alta",0.693,34,58.94,18.99,0.668,0.175,0.858
12,115.4,TRUE,4.24,"Alta",0.538,36,41.85,20.91,0.273,0.099,0.975
13,36.5,TRUE,7.66,"Alta",0.502,31,95.17,93.47,0.055,0.482,0.65
