"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,117.8,FALSE,7.61,"Baja",0.503,36,23.04,83.46,0.095,0.095,0.435
2,90.5,TRUE,2.21,"Baja",0.359,35,99.13,12.14,0.421,0.164,0.534
3,71.7,FALSE,0.57,"Alta",0.67,34,25.79,49.08,0.614,0.238,0.565
4,98.5,TRUE,3.81,"Media",0.471,35,11.66,36.65,0.272,0.139,0.564
5,12.7,FALSE,4.86,"Baja",0.612,26,2.81,94.44,0.071,0.776,0.047
6,11.3,TRUE,4.99,"Alta",0.457,26,35.65,42.42,0.065,0.798,0.542
7,24.3,FALSE,6.9,"Baja",0.501,29,36.78,31.71,0.053,0.615,0.09
8,135.3,TRUE,2.26,"Baja",0.825,36,12.35,91.48,0.508,0.067,0.7
9,123.1,FALSE,6.07,"Baja",0.644,36,11.39,14.68,0.154,0.085,0.455
10,125.5,FALSE,4.48,"Media",0.826,36,89.17,29.93,0.251,0.081,0.464
11,83,TRUE,2.61,"Baja",0.395,34,35.94,83.16,0.358,0.19,0.507
12,19.9,FALSE,6.99,"Baja",0.619,28,61.21,25.17,0.047,0.672,0.074
13,36.2,FALSE,4.78,"Alta",0.547,31,8.26,57.44,0.123,0.485,0.434
