"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,115,TRUE,0.87,"Alta",0.773,36,82.99,99.44,0.723,0.1,0.941
2,21.5,FALSE,4.71,"Media",0.382,29,71.81,88.42,0.099,0.651,0.082
3,105.2,TRUE,7.75,"Media",0.766,35,3.67,72.21,0.088,0.122,0.603
4,79.9,TRUE,4.32,"Baja",0.326,34,59.58,31,0.214,0.202,0.506
5,14.8,TRUE,5.76,"Baja",0.545,27,62.24,9.6,0.06,0.744,0.257
6,112.1,FALSE,0.65,"Alta",0.611,36,8.84,38.42,0.763,0.106,0.73
7,89.6,TRUE,6.38,"Media",0.64,35,99.47,53.51,0.122,0.167,0.543
8,36.3,TRUE,4.88,"Alta",0.414,31,23.6,28.32,0.122,0.484,0.639
9,42.1,TRUE,2.88,"Media",0.446,31,19.47,4.77,0.239,0.431,0.361
10,55.7,FALSE,7.97,"Media",0.643,33,2.18,94.73,0.06,0.328,0.213
11,114.5,TRUE,4.48,"Alta",0.406,36,70.68,31.03,0.244,0.101,0.939
12,51,FALSE,1.32,"Alta",0.38,32,30.07,16.93,0.421,0.361,0.495
13,130.5,TRUE,5.25,"Baja",0.448,36,34.74,83.85,0.207,0.074,0.7
14,115.8,TRUE,6.48,"Alta",0.381,36,64.1,51.64,0.135,0.099,0.944
15,15.6,TRUE,5.85,"Media",0.317,27,89.17,15.03,0.06,0.732,0.26
