"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,88.7,TRUE,1.65,"Alta",0.798,35,78.18,48.79,0.564,0.17,0.928
2,62.1,FALSE,7.78,"Baja",0.547,33,39.74,90.71,0.075,0.289,0.299
3,63.7,TRUE,5.24,"Baja",0.508,33,20.16,45.08,0.163,0.28,0.507
4,81.3,TRUE,6.11,"Media",0.486,34,54.2,24.83,0.142,0.197,0.592
5,20.6,TRUE,1.86,"Media",0.41,28,36.8,79.68,0.255,0.662,0.299
6,27.2,TRUE,4.36,"Alta",0.603,30,33.73,95.75,0.138,0.58,0.631
7,100.7,FALSE,0.96,"Baja",0.763,35,70.63,93.92,0.739,0.133,0.486
8,22.7,TRUE,5.92,"Media",0.361,29,28.74,7.32,0.079,0.635,0.309
9,29.1,FALSE,1.47,"Baja",0.417,30,81.8,61.22,0.341,0.559,0.14
10,103.7,FALSE,4.54,"Alta",0.538,35,41.61,52.15,0.256,0.126,0.8
11,62.5,FALSE,3.22,"Baja",0.404,33,98.94,41.8,0.295,0.287,0.301
