"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,31.9,FALSE,2.48,"Alta",0.576,30,46.04,9.83,0.227,0.528,0.414
2,111,FALSE,3.99,"Baja",0.517,35,36.48,24.97,0.269,0.109,0.397
3,57.9,TRUE,7.83,"Baja",0.417,33,6.25,15.93,0.061,0.314,0.407
4,139.8,TRUE,1.41,"Baja",0.684,36,71.28,59.53,0.655,0.061,0.7
5,63.3,FALSE,1.18,"Media",0.451,33,21.88,73.8,0.472,0.282,0.226
6,40.9,TRUE,5.82,"Media",0.411,31,40.27,31.51,0.094,0.441,0.346
7,77.8,FALSE,2.4,"Media",0.434,34,34.87,63.27,0.363,0.211,0.278
8,44.7,TRUE,2.42,"Media",0.446,32,4.54,1.23,0.274,0.409,0.36
9,46.9,FALSE,3.85,"Media",0.457,32,66.4,42.13,0.182,0.391,0.168
10,17.8,TRUE,3.02,"Baja",0.378,28,89.76,33.71,0.144,0.7,0.264
11,89.5,FALSE,7.4,"Media",0.469,35,71.88,88.88,0.087,0.167,0.32
12,121.8,TRUE,5.85,"Media",0.663,36,29.75,43.41,0.161,0.088,0.636
