"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,59,TRUE,6.79,"Media",0.341,33,61.05,86.07,0.088,0.307,0.429
2,112.4,TRUE,2.65,"Baja",0.661,36,52.05,15.44,0.422,0.106,0.637
3,128.7,TRUE,4.69,"Alta",0.426,36,55.58,1.58,0.245,0.076,1
4,103.4,TRUE,5.56,"Alta",0.722,35,57.88,21.99,0.169,0.126,0.902
5,25.2,FALSE,2.72,"Media",0.288,29,2.55,2.85,0.196,0.604,0.098
6,118,TRUE,5.95,"Media",0.439,36,56.49,28.87,0.161,0.094,0.658
7,75.8,TRUE,1.53,"Baja",0.603,34,20.65,52.78,0.485,0.22,0.494
8,64.5,TRUE,6.99,"Media",0.659,33,44.9,94.72,0.087,0.275,0.451
9,79.8,TRUE,7.17,"Media",0.733,34,52.05,90.83,0.092,0.203,0.51
10,57.6,FALSE,0.69,"Baja",0.496,33,99.57,45.62,0.544,0.316,0.224
11,65.6,TRUE,4.97,"Media",0.535,33,56.12,32.83,0.161,0.269,0.455
12,42.4,FALSE,4.1,"Baja",0.425,31,97.64,40.44,0.168,0.428,0.165
13,16.3,TRUE,6.56,"Alta",0.444,27,5.69,98.03,0.05,0.722,0.563
14,20,TRUE,6.79,"Baja",0.436,28,95.2,80.33,0.051,0.67,0.278
