"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,61.5,FALSE,7.25,"Alta",0.43,33,33.83,34.05,0.076,0.292,0.525
2,74.7,TRUE,6.04,"Baja",0.402,34,74.77,48.39,0.121,0.224,0.473
3,78.2,TRUE,4.65,"Alta",0.567,34,71.72,52.26,0.187,0.209,0.786
4,77.2,TRUE,5.72,"Media",0.735,34,5.34,69.76,0.135,0.214,0.482
5,91.9,TRUE,6.55,"Baja",0.328,35,91.47,86.08,0.115,0.159,0.536
6,97.6,TRUE,6.14,"Alta",0.425,35,43.92,76.14,0.134,0.142,0.857
7,135,FALSE,7.61,"Media",0.838,36,14.99,80.31,0.101,0.067,0.493
8,136.8,FALSE,4.87,"Baja",0.83,36,41.23,0.12,0.232,0.065,0.5
9,94.2,FALSE,5.43,"Media",0.326,35,38.98,50.89,0.163,0.152,0.344
10,119.5,FALSE,2.04,"Media",0.613,36,47.6,50.78,0.507,0.092,0.437
11,123.9,TRUE,2.51,"Baja",0.411,36,54.74,51.59,0.448,0.084,0.653
12,78.9,FALSE,5.2,"Media",0.704,34,51.76,70.92,0.16,0.206,0.288
13,116.4,TRUE,5.85,"Alta",0.393,36,4.16,39.48,0.159,0.097,0.925
