"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,110.1,TRUE,1.48,"Alta",0.68,35,11.46,84.13,0.556,0.111,0.876
2,146.4,TRUE,1.01,"Baja",0.772,37,98.62,4.94,0.739,0.054,0.7
3,72.8,FALSE,0.79,"Alta",0.461,34,89.49,64.92,0.556,0.233,0.549
4,122.8,FALSE,5.13,"Alta",0.776,36,26.48,94.57,0.197,0.086,0.719
5,34.8,TRUE,1.24,"Media",0.283,31,41.91,97.27,0.336,0.499,0.319
6,79.3,TRUE,3.32,"Media",0.47,34,86.37,11.78,0.272,0.205,0.471
7,139.2,FALSE,6.82,"Baja",0.459,36,9.86,41.41,0.126,0.062,0.475
8,125.2,TRUE,6.69,"Media",0.418,36,63.8,74.95,0.124,0.082,0.628
9,108.2,TRUE,0.81,"Media",0.414,35,56.65,40.84,0.674,0.115,0.57
10,45.9,TRUE,7.47,"Media",0.412,32,44.8,1.96,0.06,0.399,0.357
11,134.5,FALSE,0.85,"Media",0.382,36,95.02,72.21,0.743,0.068,0.459
12,115.9,FALSE,1.96,"Alta",0.355,36,2.36,98.36,0.494,0.098,0.696
13,28.8,FALSE,3.66,"Media",0.269,30,80.39,98,0.148,0.562,0.098
14,111.2,TRUE,6.75,"Alta",0.727,35,46.93,34.94,0.115,0.108,0.88
