"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,56.4,FALSE,5.28,"Baja",0.594,33,16.71,15.61,0.131,0.324,0.204
2,60.6,TRUE,3.12,"Media",0.45,33,66.06,22.81,0.26,0.298,0.419
3,138.2,TRUE,0.64,"Baja",0.444,36,22.99,33.39,0.825,0.063,0.7
4,111.1,TRUE,5.23,"Alta",0.613,35,36.28,89.17,0.187,0.108,0.902
5,96.8,FALSE,7.27,"Alta",0.684,35,48.38,65.99,0.095,0.144,0.65
6,69.3,FALSE,0.56,"Baja",0.566,33,52.22,24.22,0.599,0.25,0.251
7,113.5,TRUE,5.82,"Media",0.693,36,40.6,90.99,0.158,0.103,0.611
8,31.9,FALSE,7.59,"Alta",0.472,30,78.8,65.44,0.049,0.528,0.415
9,69.4,TRUE,4.8,"Alta",0.555,33,93.46,72.23,0.168,0.25,0.751
10,136.7,TRUE,6.14,"Alta",0.526,36,98.39,1.74,0.158,0.065,0.995
11,100.1,TRUE,2.62,"Baja",0.628,35,60.27,36.15,0.388,0.135,0.562
