"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,108.9,TRUE,4.84,"Alta",0.775,35,38.4,32.25,0.204,0.113,0.878
2,57.5,FALSE,3.68,"Baja",0.482,33,62.16,71.15,0.209,0.317,0.2
3,61.7,TRUE,6.43,"Media",0.539,33,67.98,86.56,0.095,0.291,0.414
4,122.9,TRUE,4.82,"Baja",0.369,36,93.92,78.36,0.217,0.086,0.626
5,67.1,TRUE,1.6,"Baja",0.535,33,43.06,3.57,0.422,0.261,0.433
6,144.1,FALSE,6.95,"Alta",0.372,37,80.63,30.43,0.124,0.056,0.8
7,110.4,TRUE,1.78,"Baja",0.535,35,69.19,59.08,0.513,0.11,0.583
8,123.9,FALSE,1.41,"Baja",0.582,36,82.97,11.94,0.607,0.084,0.43
9,93.8,FALSE,7.36,"Media",0.595,35,66.37,2.59,0.089,0.153,0.325
10,22.4,FALSE,4.82,"Baja",0.589,29,29.91,17.91,0.093,0.639,0.078
11,25.6,FALSE,5.22,"Media",0.386,29,22.27,91.07,0.088,0.599,0.089
12,8.8,FALSE,1.41,"Alta",0.305,25,73.37,6.99,0.162,0.839,0.331
