"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,37.5,FALSE,2.28,"Baja",0.571,31,5.96,52.7,0.259,0.472,0.132
2,64.4,FALSE,4.5,"Media",0.686,33,61.23,88.47,0.174,0.276,0.226
3,142.3,TRUE,3.6,"Media",0.525,37,93.7,19.23,0.34,0.058,0.7
4,72.6,TRUE,6.55,"Media",0.508,34,62.84,54.98,0.1,0.234,0.455
5,98,TRUE,5.29,"Baja",0.574,35,37.54,6.21,0.17,0.141,0.544
6,10.9,TRUE,1.09,"Alta",0.489,26,95.05,30.37,0.2,0.804,0.538
7,105.8,TRUE,7.43,"Baja",0.643,35,98.38,5.35,0.093,0.121,0.572
8,127.5,TRUE,1.28,"Alta",0.644,36,98.96,76.17,0.645,0.078,0.948
9,89.9,FALSE,6.93,"Media",0.656,35,91.14,60.67,0.099,0.166,0.316
10,65,FALSE,2.09,"Alta",0.496,33,2.29,97.21,0.361,0.273,0.528
