"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,111.5,TRUE,5.96,"Baja",0.49,36,42.46,38.4,0.145,0.108,0.573
2,8.4,TRUE,3.69,"Baja",0.516,25,8.74,42.31,0.078,0.845,0.228
3,33.4,TRUE,1.85,"Baja",0.561,30,37.99,5.54,0.271,0.513,0.312
4,15.8,FALSE,3.76,"Media",0.57,27,6.57,47.24,0.105,0.729,0.053
5,34.4,FALSE,3.15,"Baja",0.45,30,74.24,19.5,0.187,0.503,0.115
6,95.5,TRUE,5.69,"Media",0.499,35,6.56,25.95,0.145,0.148,0.52
7,136.2,TRUE,6.86,"Media",0.801,36,22.77,21.37,0.122,0.066,0.656
8,149.4,TRUE,5.3,"Baja",0.66,37,93.37,86.24,0.204,0.05,0.7
9,5.7,TRUE,4.04,"Media",0.264,23,54.62,3.38,0.058,0.892,0.219
10,46.1,TRUE,7.5,"Alta",0.535,32,97.83,71.44,0.059,0.398,0.654
11,93,TRUE,1.25,"Media",0.466,35,35.64,73.52,0.542,0.156,0.511
12,62.9,FALSE,4.19,"Baja",0.33,33,23.81,24.21,0.185,0.284,0.211
13,15.8,TRUE,1.74,"Media",0.372,27,72.93,10.89,0.193,0.729,0.253
