"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,33.9,TRUE,6.54,"Media",0.413,30,84.67,55.89,0.069,0.508,0.32
2,24.7,FALSE,4.22,"Baja",0.265,29,20.02,37.94,0.118,0.61,0.087
3,141.7,TRUE,3.89,"Media",0.794,37,84.16,53.16,0.311,0.059,0.7
4,62.3,FALSE,2.14,"Media",0.349,33,52.38,41.54,0.349,0.288,0.22
5,73.9,TRUE,1.62,"Alta",0.436,34,14.41,84.42,0.444,0.228,0.761
6,22.6,TRUE,7.75,"Alta",0.334,29,42.25,29.72,0.039,0.636,0.58
7,49,TRUE,4.02,"Baja",0.373,32,22.09,11.66,0.176,0.375,0.373
8,93.8,TRUE,0.54,"Media",0.43,35,86.17,77.33,0.692,0.153,0.531
9,81.3,TRUE,7.3,"Alta",0.698,34,52.58,1.11,0.085,0.197,0.787
10,19.5,TRUE,5.42,"Alta",0.466,28,57.71,50.88,0.073,0.677,0.569
11,120.1,TRUE,2.46,"Media",0.632,36,31.54,64.91,0.44,0.091,0.624
12,26,TRUE,6.41,"Alta",0.448,29,50.2,20.62,0.063,0.595,0.592
13,26.1,TRUE,6.92,"Alta",0.353,29,78.77,3.64,0.054,0.593,0.592
14,19.9,TRUE,3.24,"Baja",0.488,28,81.33,65.14,0.142,0.672,0.27
15,70.5,FALSE,7.48,"Baja",0.608,34,33.82,25.31,0.075,0.244,0.249
