"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,93.3,FALSE,4.3,"Baja",0.429,35,45.65,15.2,0.221,0.155,0.323
2,88.9,TRUE,5.41,"Alta",0.541,35,84.34,2.39,0.155,0.169,0.807
3,57.1,FALSE,4.31,"Media",0.623,33,44.37,64.17,0.172,0.319,0.197
4,112.4,TRUE,1.58,"Media",0.756,36,93.03,51.7,0.549,0.106,0.589
5,65.6,TRUE,6.94,"Alta",0.306,33,8.1,88.92,0.084,0.269,0.727
6,68.8,TRUE,7.58,"Media",0.428,33,96.87,58.24,0.071,0.253,0.438
7,93.9,TRUE,7.37,"Baja",0.611,35,85.21,95.23,0.088,0.153,0.525
8,76.4,TRUE,6.17,"Media",0.568,34,29.85,9.83,0.114,0.217,0.464
9,15.7,TRUE,6.27,"Media",0.549,27,28.92,69.87,0.05,0.731,0.254
10,78.5,TRUE,3.85,"Baja",0.426,34,25.76,84.01,0.232,0.208,0.471
11,139.7,FALSE,4.31,"Media",0.679,36,79.19,80.96,0.27,0.061,0.483
12,21.2,TRUE,3.44,"Alta",0.311,28,95.73,63.01,0.136,0.654,0.573
13,144.6,FALSE,5.95,"Alta",0.635,37,7.83,41.54,0.168,0.055,0.8
14,12.1,FALSE,7.78,"Baja",0.479,26,79.15,44.14,0.028,0.785,0.042
