"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,24.1,TRUE,4.56,"Baja",0.527,29,47.82,20,0.114,0.618,0.3
2,74.6,FALSE,3.13,"Media",0.737,34,47.92,72.22,0.307,0.225,0.309
3,31,TRUE,1.47,"Baja",0.538,30,9.05,41.52,0.326,0.538,0.328
4,12.2,TRUE,6.96,"Media",0.532,26,91.39,82.03,0.039,0.783,0.25
5,39.8,TRUE,6.11,"Baja",0.28,31,24.21,96.03,0.092,0.451,0.365
6,120.8,TRUE,4.27,"Baja",0.732,36,30.47,22.35,0.278,0.089,0.7
7,113.1,FALSE,0.91,"Alta",0.58,36,22.17,7.34,0.736,0.104,0.768
8,22.2,TRUE,1.42,"Baja",0.463,29,82.58,71.5,0.28,0.641,0.292
9,11.4,TRUE,3.53,"Media",0.274,26,39.03,36.82,0.107,0.796,0.247
10,69.9,TRUE,7.08,"Media",0.483,34,13.24,94.06,0.091,0.247,0.489
