"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,146.8,TRUE,5.29,"Media",0.554,37,74.86,31.51,0.205,0.053,0.7
2,86.9,FALSE,2.99,"Media",0.351,34,64.45,87.37,0.314,0.176,0.296
3,53.9,FALSE,6.26,"Alta",0.38,32,86.61,20.85,0.093,0.34,0.484
4,45.7,TRUE,0.52,"Media",0.409,32,47.84,81.09,0.477,0.401,0.356
5,138.2,FALSE,5.29,"Media",0.823,36,84.43,98.4,0.198,0.063,0.471
6,82.4,TRUE,4.86,"Alta",0.637,34,77.53,16.1,0.174,0.192,0.781
7,83.9,TRUE,1.46,"Media",0.486,34,66.85,5.46,0.488,0.187,0.486
8,108,TRUE,5.39,"Media",0.772,35,80.36,88.31,0.17,0.115,0.568
9,6.1,TRUE,3.16,"Baja",0.405,24,64.06,50.98,0.079,0.885,0.221
10,44.1,FALSE,3.94,"Media",0.671,32,49.08,90.26,0.168,0.414,0.15
11,60.2,TRUE,6.23,"Baja",0.624,33,44.11,18.91,0.099,0.3,0.405
12,69.5,TRUE,2.23,"Media",0.489,33,61.52,16.03,0.352,0.249,0.437
