"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,115.7,FALSE,7.21,"Baja",0.751,36,67.55,17.1,0.104,0.099,0.409
2,121.8,FALSE,5.72,"Baja",0.743,36,16.44,47.81,0.167,0.088,0.43
3,111.4,FALSE,2.19,"Media",0.348,36,59.94,59.45,0.46,0.108,0.394
4,103.9,FALSE,4.4,"Baja",0.49,35,19.78,23.8,0.229,0.125,0.367
5,6.7,FALSE,5.85,"Media",0.472,24,84.57,1.66,0.038,0.875,0.024
6,115,TRUE,7.47,"Alta",0.633,36,34.61,53.4,0.096,0.1,0.906
7,77.3,FALSE,3.39,"Media",0.428,34,95.23,2.87,0.267,0.213,0.273
8,72.6,TRUE,1.24,"Alta",0.389,34,80.19,24.01,0.494,0.234,0.757
9,135.6,TRUE,3.93,"Alta",0.641,36,6.35,73.68,0.301,0.066,0.979
10,141.5,TRUE,3.49,"Media",0.568,37,99.97,19.41,0.351,0.059,0.7
11,51.3,TRUE,6.19,"Alta",0.492,32,52.82,1.72,0.094,0.358,0.681
12,120,TRUE,5.11,"Alta",0.708,36,16.99,47.56,0.199,0.091,0.924
13,89.6,TRUE,6.29,"Baja",0.658,35,55.31,37.37,0.121,0.167,0.517
