"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,89.6,TRUE,3.35,"Alta",0.576,35,15.77,90.46,0.308,0.167,0.854
2,90.5,TRUE,0.73,"Media",0.627,35,44.82,7.64,0.679,0.164,0.557
3,105.2,TRUE,4.41,"Alta",0.402,35,68.3,17.17,0.243,0.122,0.915
4,101.8,TRUE,2.48,"Media",0.598,35,68.66,59.82,0.426,0.131,0.602
5,126.7,FALSE,1.75,"Media",0.729,36,83.19,49.47,0.592,0.079,0.5
6,108.2,FALSE,4.12,"Media",0.605,35,11.31,82.23,0.268,0.115,0.427
7,19,TRUE,2.94,"Baja",0.55,28,55.66,88.48,0.16,0.684,0.275
8,81,TRUE,7.44,"Baja",0.614,34,19.22,19.56,0.086,0.198,0.52
9,39.1,TRUE,4.7,"Baja",0.364,31,4.86,46.3,0.136,0.457,0.354
10,70.9,FALSE,1.84,"Alta",0.426,34,63.64,0.77,0.431,0.242,0.58
11,99.1,TRUE,7.79,"Alta",0.371,35,0.28,62.32,0.085,0.138,0.891
12,27.3,TRUE,4.2,"Media",0.495,30,50.2,63.29,0.132,0.579,0.308
13,99.1,FALSE,4.14,"Media",0.493,35,47.95,31.33,0.255,0.138,0.391
