"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,89.1,TRUE,2.61,"Baja",0.5,35,43.42,94.24,0.398,0.168,0.58
2,64.8,TRUE,3.03,"Alta",0.713,33,11.72,17.14,0.299,0.274,0.776
3,92.2,TRUE,7.28,"Alta",0.741,35,30.18,4.15,0.1,0.158,0.893
4,93.3,TRUE,1.59,"Alta",0.788,35,98.24,86.83,0.554,0.155,0.898
5,87.1,TRUE,2.08,"Media",0.757,34,71.59,68.54,0.462,0.175,0.571
6,39.1,FALSE,6.94,"Baja",0.498,31,88.9,17.76,0.072,0.457,0.167
7,56.4,TRUE,3.98,"Baja",0.53,33,20.61,70.04,0.21,0.324,0.44
8,81.9,TRUE,1.15,"Baja",0.403,34,60.34,86.61,0.592,0.194,0.549
9,69.5,TRUE,6.36,"Alta",0.6,33,51.17,57.43,0.114,0.249,0.796
10,49.8,TRUE,1.85,"Media",0.403,32,7.31,41.56,0.374,0.369,0.412
11,77.3,TRUE,1.94,"Baja",0.703,34,35.83,98.26,0.454,0.213,0.529
12,117.3,FALSE,2.97,"Baja",0.685,36,19.71,95.45,0.41,0.096,0.5
