"parche_id","area_ha","ocupado","distancia_mas_cercano_km","calidad_habitat","heterocigosidad","riqueza_especies","x","y","prob_colonizacion","prob_extincion","criticidad"
1,16.8,FALSE,2.78,"Media",0.574,28,51.66,62.26,0.149,0.715,0.059
2,138.2,TRUE,5.22,"Media",0.375,36,73.23,54.43,0.205,0.063,0.684
3,85.5,FALSE,3.05,"Media",0.513,34,75.57,10,0.31,0.181,0.299
4,49.7,FALSE,5.53,"Baja",0.305,32,15.93,38.65,0.112,0.37,0.174
5,63,TRUE,1.09,"Alta",0.388,33,62.76,53.77,0.479,0.284,0.72
6,89.8,FALSE,5.52,"Baja",0.522,35,25.92,24.02,0.151,0.166,0.314
7,105.4,TRUE,1.68,"Alta",0.471,35,65.07,75.77,0.519,0.121,0.869
8,142.9,TRUE,5.71,"Alta",0.611,37,71.96,66.08,0.18,0.057,1
9,89.8,TRUE,7.55,"Media",0.405,35,77.89,41.01,0.082,0.166,0.514
10,141.6,TRUE,2.79,"Alta",0.581,37,48.09,44.64,0.431,0.059,0.995
11,117.5,TRUE,6.76,"Alta",0.804,36,18.67,45.99,0.119,0.095,0.911
12,25.2,TRUE,1.67,"Baja",0.553,29,13.79,40.32,0.254,0.604,0.288
13,35.9,TRUE,7.23,"Baja",0.501,31,8.63,8.7,0.057,0.488,0.326
14,102.7,FALSE,2.39,"Media",0.45,35,23.82,87.83,0.414,0.128,0.359
