parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,29.2,True,2.19,Baja,0.312,30,4.07,0.26,0.23,0.558,0.299
2,75.1,True,6.17,Alta,0.651,34,22.79,53.49,0.112,0.223,0.754
3,98.7,True,5.53,Media,0.743,35,32.77,53.55,0.155,0.139,0.533
4,17.3,True,6.84,Baja,0.32,28,8.81,97.45,0.044,0.708,0.258
5,20.1,True,7.25,Alta,0.302,28,31.21,18.79,0.042,0.669,0.568
6,129.3,True,4.71,Media,0.485,36,21.55,97.87,0.227,0.075,0.637
7,17.6,True,5.23,Media,0.346,28,45.96,7.86,0.072,0.703,0.259
8,71.9,True,7.1,Baja,0.575,34,50.09,45.39,0.083,0.237,0.443
9,91.8,False,5.51,Alta,0.0,0,22.96,40.04,0.151,0.159,0.61
10,148.1,True,1.03,Baja,0.846,37,69.44,97.47,0.734,0.052,0.7
