parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,91.2,True,7.39,Baja,0.667,35,81.3,15.3,0.087,0.161,0.516
2,59.3,True,4.37,Baja,0.567,33,46.73,58.79,0.173,0.305,0.406
3,97.4,True,5.53,Media,0.664,35,1.15,14.87,0.156,0.143,0.538
4,66.0,True,0.95,Alta,0.309,33,54.39,46.33,0.509,0.267,0.729
5,93.9,True,4.17,Media,0.69,35,63.14,23.41,0.231,0.153,0.526
6,9.8,False,5.48,Media,0.0,0,67.33,18.18,0.05,0.822,0.034
7,132.2,False,4.37,Media,0.0,0,3.91,19.63,0.258,0.071,0.459
8,144.1,True,6.25,Alta,0.54,37,65.22,40.48,0.153,0.056,1.0
9,39.8,False,7.55,Media,0.0,0,8.03,16.89,0.055,0.451,0.138
10,117.2,True,5.88,Baja,0.392,36,80.43,69.15,0.155,0.096,0.607
11,89.5,False,7.21,Alta,0.0,0,91.44,30.87,0.091,0.167,0.611
12,17.1,True,2.58,Alta,0.605,28,25.07,15.17,0.159,0.71,0.559
