parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,122.7,True,4.37,Media,0.344,36,95.14,11.23,0.253,0.086,0.64
2,41.5,True,4.85,Media,0.427,31,40.81,64.69,0.127,0.436,0.349
3,139.4,True,3.59,Media,0.667,36,64.06,65.27,0.341,0.062,0.7
4,126.5,True,6.01,Baja,0.69,36,70.61,45.31,0.157,0.08,0.654
5,28.0,False,5.69,Alta,0.0,0,6.67,99.12,0.081,0.571,0.4
6,104.6,False,1.49,Baja,0.0,0,24.78,19.89,0.554,0.123,0.375
7,16.9,True,1.12,Alta,0.624,28,11.99,87.63,0.249,0.713,0.561
8,70.8,True,2.66,Alta,0.66,34,35.06,90.03,0.321,0.243,0.754
9,78.6,False,4.25,Baja,0.0,0,44.07,69.82,0.21,0.208,0.282
10,31.0,True,1.39,Baja,0.303,30,57.51,62.65,0.311,0.538,0.311
11,74.4,True,2.28,Alta,0.618,34,43.2,76.67,0.369,0.226,0.767
12,21.5,True,2.34,Media,0.604,29,76.05,53.61,0.195,0.651,0.277
13,8.0,False,3.48,Media,0.0,0,22.03,99.32,0.084,0.852,0.029
14,120.4,True,0.96,Baja,0.563,36,15.85,26.99,0.697,0.09,0.632
15,68.3,True,6.47,Media,0.715,33,99.45,91.74,0.1,0.255,0.445
