parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,122.9,True,4.03,Baja,0.384,36,50.76,25.89,0.271,0.086,0.613
2,55.4,False,3.95,Media,0.0,0,57.7,65.89,0.187,0.33,0.186
3,82.0,False,4.94,Alta,0.0,0,52.34,36.7,0.169,0.194,0.576
4,116.8,True,7.58,Media,0.597,36,41.77,45.96,0.091,0.097,0.593
5,30.0,True,7.93,Alta,0.511,30,89.16,83.41,0.042,0.549,0.601
6,32.5,True,4.77,Alta,0.529,30,16.95,55.43,0.112,0.522,0.609
7,71.2,True,1.61,Media,0.472,34,0.8,56.22,0.427,0.241,0.439
8,129.4,False,6.61,Baja,0.0,0,14.99,69.68,0.128,0.075,0.435
9,148.2,True,5.61,Baja,0.598,37,6.47,7.48,0.186,0.052,0.698
10,126.4,True,6.24,Media,0.478,36,38.28,58.06,0.142,0.08,0.625
11,148.7,True,7.87,Media,0.608,37,72.79,47.69,0.094,0.051,0.7
12,77.6,True,2.87,Baja,0.711,34,53.3,15.49,0.305,0.212,0.461
