parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,61.2,True,2.78,Alta,0.326,33,74.48,80.53,0.307,0.294,0.75
2,64.3,True,6.19,Baja,0.613,33,5.93,28.43,0.113,0.276,0.462
3,66.7,True,4.72,Baja,0.35,33,46.41,25.92,0.179,0.263,0.472
4,110.7,True,7.13,Baja,0.366,35,39.84,45.55,0.112,0.109,0.651
5,70.3,True,1.71,Media,0.517,34,6.56,68.36,0.453,0.245,0.487
6,86.8,True,5.08,Media,0.539,34,18.61,95.32,0.183,0.176,0.554
7,19.5,True,6.05,Alta,0.429,28,80.41,93.07,0.065,0.677,0.58
8,89.1,False,5.42,Baja,0.0,0,33.03,32.64,0.168,0.168,0.363
9,122.6,False,1.9,Alta,0.0,0,29.5,5.12,0.566,0.086,0.8
10,50.9,False,7.32,Baja,0.0,0,60.77,72.1,0.072,0.361,0.208
11,42.1,True,6.93,Alta,0.314,31,71.42,66.95,0.073,0.431,0.672
12,52.4,True,7.61,Baja,0.393,32,15.27,37.93,0.067,0.351,0.414
13,10.4,True,1.88,Baja,0.563,26,90.38,95.21,0.166,0.812,0.242
14,69.5,False,0.93,Media,0.0,0,58.91,58.28,0.57,0.249,0.283
15,102.5,True,1.93,Baja,0.348,35,66.28,97.11,0.512,0.129,0.618
