parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,134.9,True,5.76,Baja,0.664,36,52.96,28.51,0.173,0.067,0.675
2,88.5,False,3.23,Media,0.0,0,26.9,88.67,0.3,0.17,0.312
3,106.7,False,4.27,Media,0.0,0,78.73,28.6,0.241,0.118,0.376
4,113.4,True,2.78,Media,0.461,36,19.98,68.67,0.388,0.104,0.599
5,23.8,False,6.31,Media,0.0,0,48.39,68.2,0.062,0.621,0.084
6,91.1,False,1.02,Alta,0.0,0,29.94,19.86,0.59,0.162,0.621
7,101.3,False,1.88,Media,0.0,0,12.93,77.89,0.481,0.132,0.357
8,142.0,True,6.83,Baja,0.549,37,72.56,50.62,0.129,0.058,0.7
9,7.3,True,1.52,Media,0.427,24,66.55,96.27,0.144,0.864,0.226
10,95.6,False,7.78,Media,0.0,0,56.46,97.95,0.08,0.148,0.337
11,45.6,True,5.07,Alta,0.378,32,62.4,17.57,0.124,0.402,0.661
12,42.0,True,4.77,Baja,0.3,31,15.22,5.73,0.13,0.432,0.348
13,104.8,False,6.26,Alta,0.0,0,50.06,66.99,0.131,0.123,0.669
14,118.3,True,6.34,Media,0.546,36,92.93,14.9,0.136,0.094,0.617
