parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,41.7,True,6.61,Media,0.627,31,35.14,4.94,0.076,0.434,0.351
2,138.2,True,3.32,Media,0.433,36,35.36,54.93,0.369,0.063,0.7
3,72.4,False,2.47,Baja,0.0,0,38.29,49.33,0.345,0.235,0.262
4,69.4,True,5.41,Alta,0.651,33,10.24,75.63,0.14,0.25,0.751
5,14.7,False,2.33,Alta,0.0,0,71.79,35.17,0.162,0.745,0.353
6,116.2,False,2.07,Media,0.0,0,93.63,55.65,0.493,0.098,0.42
7,60.3,True,2.78,Alta,0.381,33,4.14,48.56,0.287,0.299,0.718
8,35.7,True,0.8,Baja,0.608,31,28.97,40.33,0.4,0.49,0.329
9,57.3,True,2.01,Alta,0.467,33,61.67,94.81,0.352,0.318,0.707
10,104.8,False,1.2,Baja,0.0,0,70.43,43.4,0.608,0.123,0.379
11,20.8,False,2.32,Media,0.0,0,30.46,31.06,0.193,0.66,0.075
12,79.0,True,2.88,Baja,0.444,34,48.74,8.04,0.319,0.206,0.486
13,58.7,False,4.36,Media,0.0,0,86.55,3.04,0.176,0.309,0.212
