parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,125.1,False,6.28,Alta,0.0,0,81.35,60.09,0.145,0.082,0.755
2,137.6,True,5.33,Baja,0.423,36,98.88,29.56,0.202,0.064,0.7
3,8.5,False,2.76,Media,0.0,0,70.29,95.57,0.109,0.844,0.031
4,90.9,False,1.95,Alta,0.0,0,92.92,52.8,0.453,0.162,0.63
5,128.7,False,1.45,Media,0.0,0,46.04,59.81,0.626,0.076,0.468
6,81.9,False,4.71,Media,0.0,0,33.18,50.25,0.188,0.194,0.298
7,48.6,True,2.52,Alta,0.44,32,52.53,91.6,0.279,0.378,0.677
8,64.4,True,4.87,Media,0.411,33,93.21,37.28,0.159,0.276,0.434
9,48.9,True,7.32,Baja,0.343,32,84.08,90.58,0.066,0.376,0.378
10,24.6,False,5.95,Alta,0.0,0,4.08,51.07,0.071,0.611,0.389
11,89.7,True,3.17,Baja,0.719,35,81.16,91.55,0.312,0.166,0.526
12,130.6,True,4.74,Media,0.694,36,53.79,48.49,0.235,0.073,0.675
13,63.6,False,4.11,Media,0.0,0,23.45,83.49,0.198,0.28,0.231
14,109.1,False,2.25,Baja,0.0,0,62.47,7.45,0.453,0.113,0.396
