parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,24.7,False,1.81,Alta,0.0,0,13.38,12.45,0.261,0.61,0.401
2,95.2,False,2.89,Baja,0.0,0,62.48,94.53,0.37,0.149,0.388
3,115.0,True,3.21,Baja,0.765,36,77.82,91.06,0.37,0.1,0.669
4,122.7,True,7.3,Baja,0.634,36,37.41,84.39,0.112,0.086,0.7
5,94.2,False,4.79,Media,0.0,0,5.15,21.75,0.208,0.152,0.384
6,85.6,True,3.39,Media,0.616,34,29.33,80.26,0.302,0.181,0.549
7,95.3,True,5.29,Alta,0.453,35,1.47,51.86,0.18,0.149,0.888
8,73.0,True,4.85,Alta,0.662,34,4.55,91.06,0.18,0.232,0.797
9,109.6,True,1.15,Alta,0.708,35,96.07,25.5,0.669,0.112,0.947
10,77.7,True,6.53,Media,0.68,34,42.56,15.56,0.112,0.211,0.517
11,48.0,True,2.05,Alta,0.418,32,36.68,77.95,0.338,0.383,0.696
12,109.4,False,0.86,Alta,0.0,0,9.09,19.73,0.73,0.112,0.746
