parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,144.1,True,1.04,Media,0.385,37,4.4,89.51,0.718,0.056,0.682
2,132.2,True,4.69,Media,0.558,36,82.53,96.06,0.23,0.071,0.642
3,149.6,True,4.15,Alta,0.438,37,51.86,68.32,0.288,0.05,1.0
4,94.4,False,3.61,Alta,0.0,0,12.01,85.53,0.269,0.151,0.616
5,59.7,True,4.78,Media,0.693,33,10.19,16.71,0.151,0.303,0.4
6,106.4,True,0.84,Media,0.521,35,54.82,68.11,0.655,0.119,0.556
7,79.0,True,0.64,Baja,0.542,34,51.56,50.07,0.6,0.206,0.464
8,45.2,True,6.05,Media,0.437,32,87.42,38.26,0.09,0.405,0.351
9,114.0,True,5.68,Media,0.332,36,92.85,76.47,0.159,0.102,0.581
10,119.6,True,2.03,Baja,0.419,36,98.65,83.7,0.486,0.091,0.6
11,18.7,True,4.89,Media,0.332,28,5.46,10.71,0.082,0.688,0.262
12,104.9,True,4.24,Media,0.692,35,81.4,98.98,0.235,0.123,0.551
13,20.9,True,6.28,Baja,0.303,28,25.13,79.73,0.057,0.658,0.27
