parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,145.1,True,3.68,Alta,0.407,37,76.46,96.77,0.332,0.055,1.0
2,21.2,True,0.65,Media,0.461,28,43.77,17.13,0.315,0.654,0.273
3,82.0,True,5.48,Media,0.553,34,98.26,29.46,0.145,0.194,0.483
4,92.2,True,5.39,Baja,0.597,35,95.52,30.1,0.158,0.158,0.518
5,45.4,True,2.43,Baja,0.461,32,92.19,88.39,0.27,0.403,0.356
6,25.3,True,3.51,Alta,0.273,29,40.83,45.96,0.146,0.603,0.587
7,125.9,False,4.14,Media,0.0,0,83.91,2.06,0.269,0.081,0.434
8,88.3,False,6.22,Alta,0.0,0,63.68,0.42,0.121,0.171,0.604
9,62.4,True,4.11,Baja,0.59,33,22.71,62.64,0.191,0.287,0.415
10,128.4,True,7.26,Baja,0.746,36,38.24,39.86,0.107,0.077,0.642
11,144.7,True,7.7,Baja,0.633,37,29.02,22.26,0.099,0.055,0.699
