parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,42.2,True,4.73,Media,0.462,31,15.9,62.0,0.129,0.43,0.341
2,22.1,True,3.21,Media,0.374,29,97.74,19.93,0.147,0.643,0.274
3,132.0,True,2.52,Media,0.513,36,46.34,69.75,0.441,0.071,0.641
4,5.2,True,4.83,Media,0.483,23,75.05,96.0,0.044,0.901,0.217
5,80.6,True,7.35,Baja,0.46,34,95.89,86.57,0.081,0.199,0.469
6,97.5,True,5.69,Media,0.443,35,83.7,74.47,0.146,0.142,0.526
7,41.6,True,7.59,Media,0.631,31,0.75,43.03,0.054,0.435,0.339
8,149.6,True,2.65,Alta,0.36,37,80.53,83.1,0.452,0.05,1.0
9,52.0,True,6.28,Alta,0.66,32,69.66,21.85,0.09,0.353,0.674
10,130.3,True,5.53,Media,0.632,36,43.97,12.69,0.178,0.074,0.635
11,53.3,False,8.0,Media,0.0,0,27.84,24.88,0.054,0.344,0.178
12,63.2,True,6.69,Media,0.484,33,9.39,54.61,0.087,0.283,0.411
