parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,52.2,False,3.74,Media,0.0,0,88.4,5.35,0.196,0.352,0.181
2,125.1,False,4.82,Baja,0.0,0,0.94,64.9,0.22,0.082,0.435
3,128.5,False,4.76,Alta,0.0,0,54.62,22.43,0.227,0.077,0.746
4,107.7,False,7.16,Media,0.0,0,3.14,6.87,0.101,0.116,0.374
5,143.9,False,2.8,Baja,0.0,0,49.47,41.03,0.432,0.056,0.5
6,46.3,False,0.78,Media,0.0,0,3.87,58.19,0.449,0.396,0.161
7,133.5,True,7.26,Alta,0.409,36,25.89,93.17,0.109,0.069,0.964
8,20.8,True,3.98,Media,0.47,28,52.91,29.46,0.115,0.66,0.272
9,42.5,False,2.22,Baja,0.0,0,84.05,53.74,0.279,0.427,0.148
10,64.1,False,1.97,Alta,0.0,0,37.66,54.54,0.37,0.277,0.523
11,99.6,True,2.73,Media,0.623,35,81.42,97.9,0.367,0.136,0.546
12,16.1,False,1.28,Media,0.0,0,69.72,10.33,0.228,0.725,0.056
13,75.5,True,2.28,Alta,0.351,34,72.03,83.64,0.365,0.221,0.762
14,48.3,True,7.9,Alta,0.568,32,19.43,57.8,0.054,0.381,0.668
15,85.4,False,7.3,Baja,0.0,0,14.2,33.8,0.086,0.181,0.297
