parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,35.9,True,7.95,Alta,0.647,31,52.32,94.01,0.047,0.488,0.631
2,63.2,True,1.31,Media,0.37,33,51.16,74.04,0.458,0.283,0.43
3,29.1,True,4.36,Media,0.473,30,56.05,37.02,0.125,0.559,0.306
4,23.2,True,4.84,Media,0.327,29,64.28,67.79,0.096,0.629,0.285
5,60.7,False,5.67,Media,0.0,0,2.63,34.96,0.121,0.297,0.221
6,107.2,True,4.68,Media,0.638,35,18.43,13.59,0.217,0.117,0.591
7,12.4,True,7.06,Baja,0.256,26,16.1,58.38,0.036,0.78,0.245
8,96.9,True,1.11,Media,0.739,35,48.71,84.5,0.603,0.144,0.553
9,110.3,True,0.64,Baja,0.742,35,48.33,59.82,0.74,0.11,0.602
10,115.0,True,2.56,Alta,0.735,36,73.77,6.92,0.425,0.1,0.919
11,66.5,True,5.26,Baja,0.678,33,39.96,38.4,0.144,0.264,0.443
12,52.3,False,2.52,Alta,0.0,0,15.95,63.32,0.29,0.351,0.491
13,104.3,False,1.55,Media,0.0,0,62.15,42.66,0.548,0.124,0.38
14,136.1,True,3.38,Alta,0.542,36,63.3,74.26,0.361,0.066,0.996
15,137.1,False,5.7,Media,0.0,0,79.48,57.28,0.181,0.064,0.5
