parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,120.0,True,2.91,Media,0.545,36,91.64,27.28,0.379,0.091,0.612
2,135.4,False,2.37,Baja,0.0,0,50.17,18.76,0.473,0.067,0.465
3,105.9,True,1.85,Alta,0.633,35,11.24,8.15,0.489,0.12,0.863
4,118.3,True,7.31,Baja,0.426,36,69.24,35.57,0.101,0.094,0.606
5,145.7,True,2.51,Alta,0.814,37,43.51,86.5,0.471,0.054,1.0
6,6.2,False,5.08,Media,0.0,0,0.36,2.36,0.045,0.883,0.021
7,73.4,False,5.65,Media,0.0,0,30.45,39.69,0.13,0.23,0.252
8,116.4,True,0.63,Alta,0.676,36,9.66,93.45,0.74,0.097,0.899
9,143.7,False,7.66,Media,0.0,0,44.07,6.95,0.1,0.056,0.493
10,94.0,False,1.8,Media,0.0,0,36.64,61.36,0.468,0.153,0.323
11,62.6,False,3.02,Media,0.0,0,38.39,37.18,0.265,0.286,0.215
12,19.7,True,3.98,Baja,0.386,28,79.94,58.67,0.111,0.674,0.268
