parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,90.2,True,1.87,Alta,0.335,35,5.05,63.47,0.446,0.165,0.806
2,39.9,True,1.54,Baja,0.648,31,94.67,38.65,0.328,0.45,0.335
3,139.9,False,0.62,Baja,0.0,0,48.48,68.61,0.809,0.061,0.474
4,52.1,False,5.4,Alta,0.0,0,94.57,48.87,0.118,0.353,0.477
5,82.9,True,4.33,Baja,0.348,34,85.44,67.64,0.205,0.191,0.481
6,126.9,True,0.67,Media,0.758,36,32.62,59.1,0.759,0.079,0.63
7,128.5,True,6.77,Media,0.549,36,30.4,25.17,0.122,0.077,0.636
8,127.9,True,3.63,Media,0.429,36,6.02,22.09,0.313,0.077,0.634
9,147.5,False,0.73,Alta,0.0,0,98.65,48.18,0.803,0.052,0.8
10,20.2,True,3.47,Alta,0.485,28,8.92,45.06,0.131,0.668,0.568
