parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,15.8,True,7.16,Baja,0.294,27,93.46,81.55,0.038,0.729,0.254
2,80.5,False,4.16,Alta,0.0,0,90.89,68.94,0.212,0.2,0.574
3,11.6,False,7.7,Alta,0.0,0,10.31,67.11,0.028,0.793,0.339
4,147.0,True,7.74,Media,0.651,37,73.99,79.96,0.098,0.053,0.7
5,68.3,True,7.52,Media,0.572,33,75.23,97.93,0.071,0.255,0.432
6,35.5,True,3.12,Alta,0.626,31,34.36,34.3,0.193,0.492,0.621
7,58.0,False,7.87,Alta,0.0,0,98.99,99.37,0.059,0.313,0.497
8,26.9,True,5.1,Baja,0.575,29,59.13,35.1,0.093,0.584,0.291
9,47.2,True,5.9,Media,0.332,32,20.87,99.34,0.097,0.389,0.361
10,105.7,False,2.58,Alta,0.0,0,78.22,57.83,0.391,0.121,0.66
