parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,76.7,False,7.78,Baja,0.0,0,0.58,26.28,0.07,0.216,0.264
2,26.5,True,6.62,Media,0.616,29,61.22,17.85,0.059,0.589,0.291
3,42.4,False,6.14,Baja,0.0,0,27.3,83.93,0.086,0.428,0.146
4,88.2,False,0.92,Baja,0.0,0,77.34,41.16,0.591,0.171,0.304
5,124.1,True,4.76,Alta,0.434,36,29.73,66.51,0.222,0.084,0.927
6,21.8,True,4.13,Baja,0.448,29,88.6,22.81,0.112,0.647,0.275
7,68.2,True,7.69,Alta,0.436,33,70.42,54.31,0.068,0.256,0.735
8,110.4,True,6.64,Baja,0.448,35,83.7,14.73,0.119,0.11,0.58
9,99.6,True,5.26,Alta,0.533,35,94.33,90.19,0.171,0.136,0.843
10,145.3,True,3.0,Baja,0.495,37,37.5,26.35,0.407,0.055,0.7
