parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,44.4,False,0.63,Alta,0.0,0,34.93,70.47,0.453,0.411,0.45
2,55.5,True,5.41,Alta,0.331,33,53.75,63.57,0.121,0.33,0.687
3,32.5,False,4.2,Media,0.0,0,72.2,56.88,0.133,0.522,0.11
4,55.0,False,2.95,Media,0.0,0,31.96,52.38,0.252,0.333,0.186
5,37.8,False,3.36,Media,0.0,0,18.34,75.14,0.184,0.47,0.128
6,118.0,False,5.18,Alta,0.0,0,19.4,77.59,0.189,0.094,0.698
7,103.9,True,0.99,Baja,0.594,35,41.25,88.83,0.622,0.125,0.551
8,13.4,False,1.54,Media,0.0,0,48.59,24.24,0.19,0.765,0.045
9,21.2,False,4.94,Baja,0.0,0,48.93,29.02,0.086,0.654,0.072
10,79.7,True,5.68,Baja,0.643,34,3.25,92.74,0.133,0.203,0.469
11,148.1,False,3.06,Alta,0.0,0,3.03,85.99,0.399,0.052,0.8
