parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,105.3,True,5.02,Baja,0.385,35,43.95,28.14,0.188,0.122,0.561
2,145.8,False,2.65,Alta,0.0,0,87.1,35.97,0.452,0.054,0.8
3,47.0,True,2.65,Media,0.46,32,19.08,31.04,0.256,0.391,0.361
4,111.8,True,1.29,Alta,0.633,36,37.94,86.95,0.595,0.107,0.883
5,130.3,False,4.65,Alta,0.0,0,95.31,64.28,0.234,0.074,0.747
6,72.4,True,2.55,Alta,0.362,34,85.95,1.79,0.328,0.235,0.748
7,30.7,True,3.89,Baja,0.438,30,44.24,56.54,0.143,0.541,0.305
8,91.8,False,6.88,Alta,0.0,0,49.33,26.19,0.101,0.159,0.615
9,55.4,True,7.39,Baja,0.38,33,74.34,98.1,0.067,0.33,0.39
10,45.8,True,2.21,Baja,0.589,32,44.98,60.28,0.289,0.4,0.357
11,127.0,True,5.36,Alta,0.458,36,85.68,46.32,0.187,0.079,0.936
