parche_id,area_ha,ocupado,distancia_mas_cercano_km,calidad_habitat,heterocigosidad,riqueza_especies,x,y,prob_colonizacion,prob_extincion,criticidad
1,34.8,False,2.31,Baja,0.0,0,55.96,53.86,0.26,0.499,0.135
2,93.5,True,4.78,Media,0.38,35,86.53,92.35,0.203,0.154,0.564
3,6.5,True,6.72,Baja,0.569,24,84.73,6.19,0.03,0.878,0.225
4,57.3,False,6.97,Media,0.0,0,10.78,36.76,0.083,0.318,0.223
5,128.2,False,0.93,Media,0.0,0,31.63,97.04,0.756,0.077,0.499
6,7.0,True,4.87,Baja,0.267,24,40.95,69.91,0.054,0.869,0.227
7,54.9,False,6.82,Media,0.0,0,68.71,89.1,0.084,0.334,0.214
8,30.5,True,1.99,Alta,0.502,30,70.22,25.36,0.268,0.543,0.619
9,128.5,False,0.66,Media,0.0,0,44.62,72.55,0.82,0.077,0.5
10,88.3,True,5.01,Alta,0.626,35,42.03,20.35,0.184,0.171,0.844
11,117.0,False,7.78,Alta,0.0,0,80.26,53.75,0.092,0.096,0.755
